emotion,Body,Head,UpperBody,LeftArm1,LeftArm2,RightArm1,RightArm2,LeftLeg1,LeftLeg2,RightLeg1,RightLeg2,LeftHand,RightHand,LeftFoot,RightFoot,Body_translational
JOE,2.109530924,0.8192548601,2.648745441,2.028752953,3.188205811,2.473284814,2.350003442,3.875791049,2.557752646,4.019303341,2.710308754,2.309750867,1.890061189,3.582839476,4.377701676,1.669686696
JOE,1.965023532,0.7678309856,2.472576629,2.094519984,2.552079762,2.529371732,2.592161232,3.775574697,2.78239646,3.887548024,2.726717626,2.027197641,1.922997889,3.757986347,4.114838179,1.583510497
JOE,1.909042135,0.7762396204,2.418481715,2.111753402,3.416739507,2.603233247,3.196339095,3.564835145,2.620312447,3.869273074,2.931736377,2.34180472,2.240589853,3.488105841,4.067674693,1.584683382
JOE,1.971551726,0.7314441943,2.569687659,2.0814869,3.535404994,2.453328396,2.673229064,3.948232765,2.976253666,3.729778254,2.465320595,2.530527581,2.088456639,4.091037589,4.039686683,1.640576099
JOE,1.825830289,0.6757506594,2.311995638,1.947850091,3.404223625,2.310056943,2.446866102,3.523150724,2.582521205,3.558579185,2.473118934,2.393210088,1.93907673,3.670059856,3.871054496,1.463455161
NEE,1.298690437,0.4926711404,1.616349,0.9743194308,0.6258764459,1.175592283,0.6718653996,2.823532775,2.163869985,2.948751659,2.115986741,0.7336423914,0.8344877712,2.974840577,3.345079694,1.116960973
NEE,1.238172966,0.4393507908,1.522353203,0.8503622517,0.5884439783,1.265005801,0.7180819692,2.689416189,2.096878362,2.864761451,2.04125308,0.7040799617,0.9120727775,2.935496153,3.232720363,1.073359228
NEE,1.139994466,0.3511786189,1.403548729,0.9631224956,0.679482563,1.094713294,0.6682299325,2.504840207,1.894076888,2.673316907,1.861840319,0.7652726595,0.8159064196,2.722313845,2.984959811,1.002762462
NEE,1.476113619,0.5405400166,1.842831571,1.423014147,0.9336729618,1.704455917,0.9903992496,3.353762071,2.596778679,3.332996132,2.392422111,1.172865873,1.283607416,3.4837938,3.721059261,1.294843604
NEE,1.522215279,0.4997549739,1.852809119,1.255107801,0.9331892116,1.617011106,0.9134575351,3.302034327,2.426039383,3.405869571,2.420406573,1.114367294,1.158283102,3.385278081,3.889937646,1.315948794
TRE,0.7280073681,0.2868044884,0.8163844856,0.7572160214,0.462821113,0.608157415,0.4440604791,1.53148008,1.152262081,1.53991709,0.8091836992,0.5390819476,0.4118881604,2.175539229,1.872078095,0.5858420314
TRE,0.7698346282,0.2710646157,0.8508805836,0.8048394807,0.4278983755,0.6660656874,0.4963420084,1.642935437,1.29405605,1.598013237,0.8234085596,0.5068011499,0.5118291034,2.119114707,1.97236566,0.623272473
TRE,0.7467173543,0.2141827625,0.8088732374,0.8289893577,0.5852536922,0.6672079346,0.4390623565,1.574765255,1.06596786,1.556213681,0.8495424463,0.6606143011,0.4988579628,2.229172492,1.979195541,0.621365606
TRE,0.800438079,0.2816377628,0.8846248367,0.9558712242,0.5937839712,0.7776979637,0.6202195399,1.544708117,1.088529394,1.61321575,0.7468801326,0.6905867569,0.6814884349,2.102246441,1.972394894,0.6260314063
TRE,0.6771502639,0.2262932412,0.735643552,0.6681727265,0.590993086,0.5636890725,0.4522385876,1.389660194,0.8991939504,1.387778149,0.7418931937,0.5772014427,0.4162135303,2.110922824,1.777183314,0.5563234479
COE,1.298086898,0.6967470097,1.634347429,2.593129857,3.203167757,1.939776273,1.59848838,4.351718439,3.151334519,4.72647045,3.840185146,2.418801353,1.920059068,5.050918221,4.758688905,1.324489794
COE,1.488998721,0.81117178,2.039298016,3.689348697,4.472988275,2.565995319,2.628065949,5.049090689,3.56961285,5.205913277,4.149121859,3.199611875,2.427883243,5.495554941,5.359586853,1.644922958
COE,1.817337737,1.203136567,2.422512406,3.821362013,5.348850652,3.084431553,3.212462718,5.060731944,3.218283985,6.27445793,5.021633408,3.27775978,2.854304424,5.318432022,6.245325911,1.791226386
COE,1.731990077,1.173446052,2.194312372,3.59597859,4.995852202,2.627885348,2.746566821,4.888883497,3.291267513,5.205624106,4.003983572,3.326863915,2.590359124,5.48761473,5.494236397,1.674678755
COE,1.647196826,1.158573984,2.139544814,3.512283875,3.934172485,2.16783039,1.563193233,4.882520262,3.317857778,4.964617319,3.835820001,3.025018708,2.354642104,5.658848704,5.106364607,1.618833973
JOE,1.604163622,0.7116464941,1.913469081,2.482959767,3.063274369,2.092516587,1.594022415,5.139114122,3.472052553,5.290117483,4.356094625,2.661138135,2.468375622,5.462213968,5.449533131,1.586819882
JOE,1.542588278,0.79118867,1.977199402,2.555944227,3.078951281,2.686597158,2.29773481,5.08122274,3.30539418,4.767462821,3.025564287,2.659945635,2.257841988,5.360183125,5.823445133,1.620577647
JOE,1.522693921,0.7600673727,1.824333319,2.293077771,3.016359467,2.223411098,1.918056161,4.707610499,2.815904016,5.450745237,4.499705784,2.33617546,2.043240622,4.805427711,5.715566898,1.545570395
JOE,1.619309597,0.8408794665,2.071621728,2.905038156,2.295800434,2.59482991,2.10511584,5.087008968,3.446817278,4.990733798,4.071229631,2.605132949,2.370960902,5.4018783,5.228662817,1.677985555
JOE,1.303921993,0.9467754891,1.777949892,1.711602217,2.077586259,1.976977897,1.720135926,4.382068462,2.846992947,4.176429315,2.531164276,1.990207329,1.721410184,4.688183764,5.125537247,1.422306192
NEE,0.9039424505,0.4001355642,1.028211031,1.281454484,0.8778059321,0.9411913469,0.4316399341,3.006901679,1.891966257,3.376611901,2.925818217,1.251059987,1.294639191,3.681431006,3.659227664,0.873934121
NEE,1.372309107,0.4121552842,1.475686115,1.969080431,2.026575669,1.515020933,0.8570556599,4.317187573,2.622383691,4.944475933,4.293000823,2.167999714,1.989934138,4.980973614,5.205141979,1.281565303
NEE,1.21510214,0.4086266075,1.318552184,1.855505732,1.59030765,1.114512867,0.232015295,4.025024294,2.697942396,4.429826016,3.755583416,1.944765329,1.621690332,4.578231644,4.593099989,1.176373013
NEE,1.254796374,0.4497871464,1.407432733,1.769926842,1.547466031,0.9679393269,0.2564278867,4.361267818,3.215138302,4.38015207,3.036202638,1.847092321,1.280892866,4.765940335,5.437837979,1.321934822
NEE,1.224656794,0.3643001788,1.369845855,1.871378869,1.366372201,1.352750791,0.8686643661,3.68695826,2.49675896,4.551650889,3.896373189,1.761903647,1.678167641,4.100476984,4.674421404,1.14761899
TRE,0.8464120876,0.3172953494,0.8767528615,0.7623991228,0.3878096854,0.5952880961,0.1768898876,2.855208708,1.764090772,3.530730065,2.869666974,0.7320572533,0.673122481,3.632576059,3.795842459,0.7479690211
TRE,0.8718607741,0.424278206,0.9461265499,0.8283225999,0.3548788832,0.6013893007,0.1957731152,3.120649564,1.831798348,3.385419227,2.654770611,0.7249811048,0.6639021057,4.065834736,3.712142707,0.784636849
TRE,0.8642335403,0.4981577952,0.9341738001,0.8229868753,0.45153833,0.574255377,0.1988917141,3.061160492,1.795439568,3.494651836,2.7232362,0.7584609275,0.6365110639,3.711649293,3.698314501,0.7614121421
TRE,0.8359158351,0.4037386243,0.878016213,0.7879519009,0.3785448058,0.5765977761,0.178225162,3.02927719,1.757792274,3.239600352,2.472609022,0.7211458265,0.7671718631,4.000936521,3.45398092,0.7398127407
TRE,0.7323832768,0.5737728059,0.752615841,0.6543649942,0.5104971681,0.4691941183,0.1634053868,2.659729177,1.613226322,2.798667844,2.098676521,0.6737222707,0.6085092874,3.187614292,2.948969119,0.6174511211
