joint,time,angle_type,angle_deg
Body,2.93333,pitch,-11.70220616
Body,2.96667,pitch,-12.56047724
Body,3,pitch,-13.1685834
Body,3.03333,pitch,-13.32798265
Body,3.06667,pitch,-13.17946962
Body,3.1,pitch,-13.16058087
Body,3.13333,pitch,-13.27693762
Body,3.16667,pitch,-12.92803248
Body,3.2,pitch,-12.07863833
Body,3.23333,pitch,-10.73273589
Body,3.26667,pitch,-8.281344277
Body,3.3,pitch,-5.250568544
Body,3.33333,pitch,-2.345851813
Body,3.36667,pitch,0.1846743574
Body,3.4,pitch,2.474290807
Body,3.43333,pitch,5.544078658
Body,3.46667,pitch,7.501029116
Body,3.5,pitch,8.128982066
Body,3.53333,pitch,7.562522373
Body,3.56667,pitch,6.169838366
Body,3.6,pitch,4.227237716
Body,3.63333,pitch,3.822159421
Body,3.66667,pitch,3.815257144
Body,3.7,pitch,4.089445283
Body,3.73333,pitch,3.838077364
Body,3.76667,pitch,4.522535738
Body,3.8,pitch,5.862644952
Body,3.83333,pitch,7.847969249
Body,3.86667,pitch,9.015636055
Body,3.9,pitch,8.365249643
Body,3.93333,pitch,6.576689946
Body,3.96667,pitch,4.953814909
Body,4,pitch,3.503327102
Body,4.03333,pitch,1.050720249
Body,4.06667,pitch,-1.792412655
Body,4.1,pitch,-3.845324376
Body,4.13333,pitch,-5.112436884
Body,4.16667,pitch,-5.938793449
Body,4.2,pitch,-7.039466474
Body,4.23333,pitch,-7.767178096
Body,4.26667,pitch,-8.424671813
Body,4.3,pitch,-9.109048285
Body,4.33333,pitch,-9.741192367
Body,4.36667,pitch,-9.712707945
Body,4.4,pitch,-9.862016675
Body,4.43333,pitch,-10.33079488
Body,4.46667,pitch,-10.63985285
Body,4.5,pitch,-11.11991296
Body,4.53333,pitch,-11.16055667
Body,4.56667,pitch,-11.14093486
Body,4.6,pitch,-11.65347
Body,4.63333,pitch,-11.34901722
Body,4.66667,pitch,-9.861144349
Body,4.7,pitch,-7.924032534
Body,4.73333,pitch,-6.260382222
Body,4.76667,pitch,-5.133554523
Body,4.8,pitch,-4.262548568
Body,4.83333,pitch,-3.975557242
Body,4.86667,pitch,-4.525668118
Body,4.9,pitch,-4.761199342
Body,4.93333,pitch,-4.411244397
Body,4.96667,pitch,-4.948500951
Body,5,pitch,-4.8130668
Body,5.03333,pitch,-3.52480183
Body,5.06667,pitch,-2.03550548
Body,5.1,pitch,-0.8481804028
Body,5.13333,pitch,-0.322988333
Body,5.16667,pitch,-0.8671875426
Body,5.2,pitch,-1.882252799
