data_name,Body,Head,UpperBody,LeftArm1,LeftArm2,RightArm1,RightArm2,LeftLeg1,LeftLeg2,RightLeg1,RightLeg2,LeftHand,RightHand,LeftFoot,RightFoot
EMLATRE04.4,38.21349475,20.90339815,32.00611072,60.67755497,32.5780509,57.85813278,22.64233955,87.40308703,40.43628452,91.8200703,42.40217457,31.10874956,44.83481488,137.2669717,188.6941286
EMLATRE05.4,48.60716292,28.23856736,43.24722987,77.44515541,28.39701785,55.88114655,36.6856598,97.59292771,108.1087854,108.1053718,49.13369673,42.16264388,46.92347927,152.6860107,179.796258
NABACOE01.4,66.26553141,74.43103991,73.50181369,164.6664442,296.3714809,162.7982505,318.4634088,148.2890327,118.7132118,223.0939255,154.0819273,199.9524787,154.0671523,196.4731656,265.6723183
NABACOE02.4,89.76098397,68.34046046,89.55946488,173.2902676,346.2213848,207.7191279,402.8979688,207.2419876,177.5030089,224.2001181,149.8584601,210.2715212,199.4023913,209.2983928,250.6576143
NABACOE03.4,81.90382887,60.45966665,78.89337324,194.7158865,382.8390624,233.7699115,385.3476769,186.2132755,159.5045367,234.0998071,163.3602277,232.5565144,175.6790574,210.5507953,272.0041454
NABACOE04.4,75.02263103,62.14121534,65.92044097,162.7808983,287.9801767,146.9178147,276.5207092,177.5110783,153.5192305,235.3603287,154.973151,144.6805573,130.0410028,212.3743708,263.082124
NABACOE05.4,62.07055806,70.02019143,65.02941082,169.7236305,280.3815154,240.3815172,293.6987735,177.7349471,159.1182356,223.8593229,147.1964186,217.2756374,172.0449355,238.5374595,257.3055525
NABAJOE01.4,67.12607694,53.81867311,84.59548186,291.4428102,229.1604735,326.793532,195.4846474,111.2193786,95.68549607,146.464194,85.33755029,179.3487715,158.3081408,153.7857055,185.4535345
NABAJOE02.4,69.2179882,100.5593458,105.2085809,176.1792881,139.6919298,193.2101659,133.0814445,140.1367147,128.8191674,173.2052575,110.4777143,170.1406968,152.343622,168.3932724,212.6789728
NABAJOE03.4,84.59356698,149.7734652,126.2138988,219.7999672,211.4716076,231.4113907,182.9325018,150.8911322,142.9039439,165.7531943,93.9302623,220.0104631,150.3997054,179.4898649,210.6694523
NABAJOE04.4,61.55749911,102.0615545,102.3129893,146.6996726,107.0963706,161.3945012,132.1207124,145.5890471,138.3452041,168.7012799,117.8659704,121.434534,131.1702676,185.298801,208.6495684
NABAJOE05.4,56.59392974,67.82979581,86.3717861,135.8481561,136.5305241,175.9769041,142.3158281,133.7459877,129.8776804,162.9736501,98.52710674,134.9230338,109.3314039,181.7806756,196.5180685
NABANEE01.4,52.84645622,28.46476549,61.32081574,65.58577967,30.93031357,65.64593616,37.96040487,132.5139873,114.4443056,176.8628759,109.3727739,69.04798428,63.97666193,166.7542878,218.1984242
NABANEE02.4,45.7647087,23.70408289,52.37617038,58.63309106,32.85810429,60.46900106,28.12198059,127.6617585,116.3872649,152.1253083,92.40630019,59.73087681,56.06459517,162.613334,190.7289384
NABANEE03.4,54.69239474,30.81757985,65.29315118,78.16929018,47.09399784,97.65457374,62.21140389,141.2194728,130.2365978,180.4666471,113.6154378,88.53870396,90.77319205,177.0605596,221.9097235
NABANEE04.4,53.86185929,32.65236128,65.40407976,78.27825953,44.86435592,91.96480943,53.70153749,140.8741698,128.7446298,168.8921902,103.6250308,85.7121172,92.89190125,176.1115257,211.5674344
NABANEE05.4,51.87938718,31.17953214,60.14061889,61.46278066,32.60890946,73.47578811,46.2562959,144.6625203,136.0116442,168.5667836,102.3280538,62.00965363,73.51086955,187.6024456,215.2780839
NABATRE01.4,20.08682546,4.890228614,15.8416636,20.86905688,13.55138414,19.36423747,13.50896882,66.96423173,54.08455009,90.88428456,60.24371735,17.76583555,18.31763711,94.79240095,146.9166027
NABATRE02.4,19.05122546,4.088583528,15.11938479,18.63785235,14.27744542,20.47142487,15.2683523,60.1471777,47.10262181,76.68102745,51.25006728,18.82544359,19.98427253,86.35304772,135.9480824
NABATRE03.4,18.50320369,7.069770074,14.89120623,17.44606259,11.12910462,16.34363751,11.74851428,55.42378969,45.68344091,74.39886154,47.42777169,18.49885907,15.77651573,77.3663129,103.3599618
NABATRE04.4,19.62183383,12.36069522,16.33493241,19.64605163,11.92771702,20.73830062,13.51971141,64.63871748,51.19302337,83.01546171,52.74248674,16.02265336,19.74726566,88.83372989,112.8956886
NABATRE05.4,17.09406775,6.249435065,13.70114353,22.78492173,9.17220321,21.56393615,12.69512287,49.40541709,40.08523254,64.96698137,44.07009171,14.6990194,17.2225548,72.42480837,92.16550497
